Kernel configuration subsytem:attributes	Kernel configurations	Key Configuration Dependencies : notes 	Architecture Dependencies	Safety Default Setting	Description	Related CVEs	Related ExploitDB Scripts	Weaknesses/ Limitations	Supported Kernel Versions	General Guidelines	Performance Impact	Suggested for Instance Types	Kernel doc references
Stack memory: Stack overflow:	CONFIG_VMAP_STACK	HAVE_ARCH_VMAP_STACK, !KASAN || KASAN_VMALLOC	Not supported on MIPS platforms.  Depends on architecture support for KASAN.	Y	Detects kernel stack overflows to be caught immediately rather than causing corruption which then needs to be diagnosed.  Enables virtually mapped kernel stacks with guard pages, by default, vmap_area includes one more page as a guard.	CVE-2016-10153, CVE-2017-8068, CVE-2017-8070		To use this with KASAN, the architecture must support backing virtual mappings with real shadow memory, and KASAN_VMALLOC must be enabled.	4.9–4.20, 5.0–5.17	Minimal expected performance impact, due to minimal use of VLAs (Very Large Arrays) in the kernel (avoided completely since kernel v4.20), the performance is affected by number of cache entries.			https://kernel.org/doc/Documentation/dev-tools/kasan.rst
Stack memory: Stack overflow:	CONFIG_THREAD_INFO_IN_TASK	None	Requires architecture support to move all thread_info fields except flags and stack pointer, and to fix various runtime bugs.	Y	Move thread information off the stack and into the task struct.  This is most effective for safety of task info, particularly during context switch.			Together with VMAP_STACK and CONFIG_GCC_PLUGIN_STACKLEAK, these configurations help to protect kernel stack memory from most kernel stack depth overflow issues.	4.9-4.20, 5.0-5.17	x86 implementation actually improved performance due to code cleanup, but not implemented in most architectures.  No expected performance impact unless there are archtecture-specific issues involved.			link
Stack memory: Stack overflow:	CONFIG_GCC_PLUGIN_STACKLEAK	GCC_PLUGINS, HAVE_ARCH_STACKLEAK	Depends on support for gcc plugins (gcc v4.5.0 or later), and archtiecture support for stackleak (to fill stack with poisong value before returning from system calls).	Y	Makes the kernel erase the kernel stack before returning from system calls, leaving the stack initialized to the poison value.			Recent patch to be applied, relevant only for gcc v4.8 or higher and on x86/i386/arm64 architectures. 	4.20, 5.0-5.17	Performance impact, 1% slowdown on a single CPU system.  Should check your implementation before deployment.  Performance impact depends on depth of stack usage, rather than function calling complexity.			See https://lwn.net/Articles/822240/
Stack memory: Stack overflow:	CONFIG_PAGE_POISONING	PAGE_POISONING_NO_SANITY, HIBERNATION		Y	Fill pages with the poson pattern after free, verify the pattern before allocation.  Dependent on "page_poison=1" in kernel command line.  				4.6-4.20, 5.0-5.17	Performance impact.  To minimize, use init_on_free=1 command line option instead, whcih will sanitize only freed pages (and won't check on allocation).			link
Stack memory: Stack overflow:	CONFIG_PAGE_POISONING_NO_SANITY	PAGE_POISONING		N	If set to Y will skip the sanity checking on allocation and only fill the pages with poison on free.				4.6-4.20, 5.0-5.10	If enabled will reduce performance impact.			link
Heap memory: Heap overflow:	CONFIG_DEBUG_LIST	CONFIG_DEBUG_KERNEL, CONFIG_BUG_ON_DATA_CORRUPTION	Depends on DEBUG_KERNEL.  Depends on BUG_ON_DATA_ CORRUPTION (see below)	Y	Extended checks in linked list walking routines			Security implications of debug kernel for usage in production systems needs to be evaluated for each specific use case.	2.6.19–2.6.39, 3.0–3.19, 4.0–4.20, 5.0–5.16, 5.17-rc+HEAD 	Although not expected to be major, integrator should confirm performance impact in the specific use case.			https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2017-10661
Driver: Heap overflow:	CONFIG_DEBUG_SG	DEBUG_KERNEL		Y	Enable this to turn on checks on scatter-gather tables. This can help find problems with drivers that do not properly initialize their sg tables.  Used to support DMA (direct memory access)				2.6.24–2.6.39, 3.0–3.19, 4.0–4.20, 5.0–5.17	Although not expected to be major, integrator should confirm performance impact in the specific use case.  Presumably most relevant for development only.			https://www.kernel.org/doc/Documentation/DMA-API-HOWTO.txt
Kernel Memory: Kernel corruption of user space memory	CONFIG_BUG_ON_DATA_CORRUPTION	DEBUG_LIST	Depends on DEBUG_KERNEL	Y	Bug on kernel data structures when checked for validity			Security implications of debug kernel for usage in production systems needs to be evaluated for each specific use case.	4.10–4.20, 5.0–5.17	Performance impact, not relevant as currently implemented for linked lists (see CONFIG_DEBUG_LIST).			link
Kernel Memory: Kernel corruption of user space memory	CONFIG_DEVKMEM	!ARM64	Not supported by ARM64	N	Disable direct kernel memory access			/dev/kmem should only be used for kernel debugging, and normally should not be enabled for production systems.	2.6.26–2.6.39, 3.0–3.19, 4.0–4.20, 5.0–5.12	Improved performance			link
Kernel Memory: Kernel corruption of user space memory	CONFIG_DEVMEM	None	If you must enable DEVMEM, at lesat enable strict mode: CONFIG_STRICT_DEVMEM, CONFIG_IO_STRICT_DEVMEM	N	Disable direct physical memory access			Safety mechanisms which rely on direct physical memory access to check hardware integrity will not allow DEVMEM to be disabled.  	4.0–4.20, 5.0–5.17	Safety mechanisms which rely on /dev/mem can and should be rewritten to avoid direct physical memory access, and to use standard Linux drivers and fault handling.			link
Kernel Memory: Kernel corruption of user space memory	CONFIG_DEVPORT	ISA || PCI	To enable would require support of ISA-bus hardware as well as PCI	N	Disable direct physical memory access to IO ports via /dev/port device			Safety mechanisms which rely on direct physical memory access to IO ports to check hardware integrity will not allow DEVPORT to be disabled.  	2.6.22–2.6.39, 3.0–3.19, 4.0–4.20, 5.0–5.17	Safety mechanisms which rely on /dev/port can and should be rewritten to avoid direct physical memory access, and to use standard Linux drivers and fault handling.			link
Kernel Memory: Kernel corruption of user space memory	CONFIG_ACPI_CUSTOM_METHOD	DEBUG_FS		N	Disable debug feature which allows ACPI methods to be inserted or replaced without rebooting the system.  If enabled, this feature would allow direct physical memory writing.			For details on how this may be (ab)used, see  https://mjmwired.net/kernel/Documentation/firmware-guide/acpi/method-customizing.rst	3.0-3.19, 4.0-4.20, 5.0-5.17	No anticipated runtime impact, debug feature which should not be used in production software.			http://devdoc.net/linux/LinuxKernel-docs-5.3rc4/firmware-guide/acpi/index.html
Kernel Memory: Kernel corruption of user space memory	CONFIG_LEGACY_PTYS	None		N	Disable legacy PTY (pseudoterminal) interface, which had numerous security issues.  Use more modern PTY interface, see  https://cateee.net/lkddb/web-lkddb/UNIX98_PTYS.html				2.6.39, 3.0–3.19, 4.0–4.20, 5.0–5.16	Negligible anticipated performance impact, UNIX98 PTY support is well established and should be used.			link
Kernel Memory: Kernel corruption of user space memory	CONFIG_HIBERNATION   https://cateee.net/lkddb/web-lkddb/HIBERNATION.html ,   	SWAP, ARCH_HIBERNATION_POSSIBLE, HIBERNATE_CALLBACKS || LZO_COMPRESS || LZO_DECOMPRESS ||CRC32	Hibernation - see CONFIG_HIBERNATION  https://cateee.net/lkddb/web-lkddb/HIBERNATION.html :  Depends on architecture support for HIBERNATION as well as memory swap,both of which are commonly found. 	N	Block replacement of running kernel or enable switch to safe state			User space tools to support suspend to disk:  http://suspend.sf.net. 	2.6.23–2.6.39, 3.0–3.19, 4.0–4.20, 5.0–5.17	Hibernation:  If supported, user space tools as well as bootloader configuration can be used to enable suspend to disk functionality. 			link
Kernel Memory: Kernel corruption of user space memory	CONFIG_KEXEC    https://cateee.net/lkddb/web-lkddb/KEXEC.html 	!SMP || PM_SLEEP_SMP,  MMU, KEXEC_CORE	Kexec, see CONFIG_EXEC  https://cateee.net/lkddb/web-lkddb/EXEC.html:  system reboot on kernel level (swtich down current kernel and switch to another kernel image).  Depends on hardware MMU (memory management unit) support, which is commonly found.	Y	Block replacement of running kernel or enable switch to safe state			User space tools to support suspend to disk:  http://suspend.sf.net. 	2.6.16–2.6.39, 3.0–3.19, 4.0–4.20, 5.0–5.17	kexec:  Needs to be aligned with use case requirements for system behavior.  An alternative option is to define an alternative kernel image as the system "safe state", in which case kexec can and should be enabled.			link
Kernel Memory: Kernel corruption of user space memory	CONFIG_HARDENED_USERCOPY	HAVE_HARDENED_USERCOPY_ALLOCATOR	Not supported on MIPS platforms	Y	Harden memory copies between kernel and user-space.  Rejects memory ranges which are obviously wrong, for example - larger than specified heap object, span multiple separately allocated pages, not on process stack, or are part of the kerenl source text.				4.8–4.20, 5.0–5.17	Kills entire classes of heap overflow exploits and similar kernel memory vulnerabilities.			link
Kernel Memory: Kernel corruption of user space memory	CONFIG_HARDENED_USERCOPY_FALLBACK	HARDENED_USERCOPY	Not supported on MIPS platforms	N	Disable fallback to gain full whitelist enforcement.  Missing usercopy whitelists can be identified via a warning message to the kernel log (instead of rejecting the copy). Currently a temporary configuration setting which should be removed once all usercopy whitelists have been identified and fixed.			Usercopy whitelisting is based on a PAX security feature to minimize the scope of memory allocations which can be copied to and from userspace.	4.16–4.20, 5.0–5.15	Enhancements to whitelisting in more recent kernel versions			link
Kernel Memory: Kernel corruption of user space memory	CONFIG_HARDENED_USERCOPY_PAGESPAN	HARDENED_USERCOPY, HAVE_HARDENED_USERCOPY_ALLOCATOR, STRICT_DEVMEM, MMU, DEVMEM, ARCH_HAS_DEVMEM_IS_ALLOWED, EXPERT, DEBUG_KERNEL	Not supported on MIPS platforms, default on for PPC, X86 and ARM64	N	Disable fallback to gain full whitelist enforcement.  Avoid rejecting existing instances of multi-page allocation which are not currently whitelisted and should not be rejected. Currently a temporary configuration setting which should be removed once all usercopy whitelists have been identified and fixed.			Usercopy whitelisting is based on a PAX security feature to minimize the scope of memory allocations which can be copied to and from userspace.	4.8–4.20, 5.0–5.17	Enhancements to whitelisting in more recent kernel versions			link
Kernel Memory: Kernel corruption of user space memory	SECURITY_DMESG_RESTRICT	None		Y	DMESG_RESTRICT prevents unprivileged users from viewing those messages using dmesg command. When DMESG_RESTRICT is enabled, only users with system administration privileges are allowed to see the messages. When DMESG_RESTRICT is not enabled, every user can see the messages.	CVE-2018-17182							link
Heap memory:  R/W access to memory allocated to another software element:	CONFIG_COMPAT_BRK	None	May break some old binaries, but for most newly developed systems (since 20000, this should be safe.	N	Enable heap randomization (note that this feature set to "Y" will actually disable heap randomization).			Dependency on kernel.randomize_va_space kernel setting, which should be set to 2	2.6.25–2.6.39, 3.0–3.19, 4.0–4.20, 5.0–5.17	Major performance impact is not expected, but needs to be evaulated in the specific use case.			link
Heap memory:  R/W access to memory allocated to another software element:	CONFIG_USERFAULTFD	MMU	Depends on hardware architecture support for MMU (memory management unit) which is commonly found.	N	Disable (by setting to "N") the userfaultfd() system call which allows the user to Intercept and handle page faults in user space			Such code should be moved to kernel space	4.3–4.20, 5.0–5.17	Fault handling whihc relies on userfaultfd() should be moved to drivers			link
Kernel Memory: R/W access to memory allocated to another software element: 	CONFIG_STRICT_KERNEL_RWX	ARCH_OPTIONAL_KERNEL_RWX, ARCH_HAS_STRICT_KERNEL_RWX, !ARCH_OPTIONAL_KERNEL_RWX || ARCH_OPTIONAL_KERNEL_RWX_DEFAULT	Not supported on MIPS platforms	Y	Make kernel text read-only and non-executable; and makes non-text kernel read-only data non-executable				4.11–4.20, 5.0–5.17	Standard security practice, and should be enabled.  Protects against kernel exploitations (e.g., modifying the heap or kernel text).			link
Kernel Memory: R/W access to memory allocated to another software element: 	CONFIG_STRICT_MODULE_RWX	ARCH_OPTIONAL_KERNEL_RWX, ARCH_HAS_STRICT_MODULE_RWX, MODULES, !ARCH_OPTIONAL_KERNEL_RWX || ARCH_OPTIONAL_KERNEL_RWX_DEFAULT	Not supported on MIPS platforms	Y	Make module text and rodata readonly, and makes non-text memory non-executable				4.11–4.20, 5.0–5.17	Standard security practice, and should be enabled.  Protects against kernel exploitations (e.g., modifying text)			link
Kernel Memory: W+X access to memory pages 	CONFIG_DEBUG_WX	MMU, ARM_PTDUMP_CORE	Not supported on all architectures (primarily x86 and arm)	Y	Issue a warning if any pages have W+X access.  W+X access is not expected after applying NX or hardened access permissions.  			Warnings only after issued, it is up to the integrator to check and correct if needed	arm: 4.16-4.20, 5.0-5.17 x86: 4.4-4.20, 5.0-5.17	Since this is executed as a one time check on kernel boot, there is negligible expected performance impact			link
Stack memory:  Enable traceability:	CONFIG_STACKTRACE_SUPPORT	STACKTRACE	Supported in most common architectures	Y	Stack tracing				Version support is architecture dependent, but supported for most architectures on recent kernel versions.  2.6.18-2.6.39, 3.0-3.19, 4.0-4.20, 5.0-5.17	Major performance impact is not expected, but needs to be evaulated in the specific use case. Stack traces are fundamentl to fault handling.			link
Stack memory:  Enable traceability:	CONFIG_STACK_TRACER	CONFIG_HAVE_FUNCTION_TRACER, FUNCTION_TRACER, STACKTRACE, KALLSYMS		Y	Records maximum stack footprint of the kernel and displays in sysfs.			If the kernel is configured with CONFIG_DYNAMIC_FTRACE set to "Y", then there will be no overhead while the stack tracer is disabled on the kernel command line. This allows for selective enabling as needed in the production system.	2.6.28–2.6.39, 3.0–3.19, 4.0–4.20, 5.0–5.17	Major performance impact is not expected, but needs to be evaulated in the specific use case.  Trace functions can be individually enabled, and those which are disabled will not affect system performance. Stack traces are fundamentl to fault halting.			https://www.kernel.org/doc/Documentation/trace/ftrace-design.txt
Kernel memory:  Enable traceability:	CONFIG_KPROBES	MODULES, HAVE_KPROBES, KALLSYMS	Enabling this setting requires architecture support for kprobe hooks	N	Disable kernel debugging features.  kprobes supports trap of almost any kernel address and execute a callback function.			Safety mechanisms which rely on KPROBES for kernel debugging will not allow this to be disabled in production systems.	2.6.9–2.6.39, 3.0–3.19, 4.0–4.20, 5.0–5.17	Kernel debugging features which allow manipulation of kernel in production systems should not be supported by unprivileged users.			link
